Material,Config,Spacing_mm,Layers,Force_lbf,PSI
pine,pegged,1.52,1,200,80.0
pine,pegged,1.52,2,396.9,158.8
pine,pegged,1.52,3,593.8,237.5
pine,pegged,1.52,4,790.7,316.3
pine,pegged,1.52,5,987.6,395.0
pine,pegged,1.52,6,1184.5,473.8
pine,pegged,1.52,7,1381.4,552.5
pine,pegged,1.52,8,1578.3,631.3
pine,pegged,1.52,9,1775.2,710.1
pine,pegged,1.52,10,1972.1,788.8
pine,unpegged,N/A,1,200,80.0
pine,unpegged,N/A,2,800,320.0
pine,unpegged,N/A,3,1800,720.0
pine,unpegged,N/A,4,3200,1280.0
pine,unpegged,N/A,5,5000,2000.0
pine,unpegged,N/A,6,7200,2880.0
pine,unpegged,N/A,7,9800,3920.0
pine,unpegged,N/A,8,12800,5120.0
pine,unpegged,N/A,9,16200,6480.0
pine,unpegged,N/A,10,20000,8000.0
paulownia,pegged,1.52,1,100,40.0
paulownia,pegged,1.52,2,198.1,79.2
paulownia,pegged,1.52,3,296.1,118.4
paulownia,pegged,1.52,4,394.2,157.7
paulownia,pegged,1.52,5,492.2,196.9
paulownia,pegged,1.52,6,590.3,236.1
paulownia,pegged,1.52,7,688.4,275.3
paulownia,pegged,1.52,8,786.4,314.6
paulownia,pegged,1.52,9,884.5,353.8
paulownia,pegged,1.52,10,982.5,393.0
paulownia,unpegged,N/A,1,100,40.0
paulownia,unpegged,N/A,2,400,160.0
paulownia,unpegged,N/A,3,900,360.0
paulownia,unpegged,N/A,4,1600,640.0
paulownia,unpegged,N/A,5,2500,1000.0
paulownia,unpegged,N/A,6,3600,1440.0
paulownia,unpegged,N/A,7,4900,1960.0
paulownia,unpegged,N/A,8,6400,2560.0
paulownia,unpegged,N/A,9,8100,3240.0
paulownia,unpegged,N/A,10,10000,4000.0
concrete,pegged,1.52,1,500,200.0
concrete,pegged,1.52,2,957.3,382.9
concrete,pegged,1.52,3,1414.6,565.9
concrete,pegged,1.52,4,1871.9,748.8
concrete,pegged,1.52,5,2329.3,931.7
concrete,pegged,1.52,6,2786.6,1114.6
concrete,pegged,1.52,7,3243.9,1297.6
concrete,pegged,1.52,8,3701.2,1480.5
concrete,pegged,1.52,9,4158.5,1663.4
concrete,pegged,1.52,10,4615.8,1846.3
concrete,unpegged,N/A,1,500,200.0
concrete,unpegged,N/A,2,1000,400.0
concrete,unpegged,N/A,3,1500,600.0
concrete,unpegged,N/A,4,2000,800.0
concrete,unpegged,N/A,5,2500,1000.0
concrete,unpegged,N/A,6,3000,1200.0
concrete,unpegged,N/A,7,3500,1400.0
concrete,unpegged,N/A,8,4000,1600.0
concrete,unpegged,N/A,9,4500,1800.0
concrete,unpegged,N/A,10,5000,2000.0
tile,pegged,1.52,1,270,108.0
tile,pegged,1.52,2,519.0,207.6
tile,pegged,1.52,3,768.1,307.2
tile,pegged,1.52,4,1017.1,406.9
tile,pegged,1.52,5,1266.2,506.5
tile,pegged,1.52,6,1515.2,606.1
tile,pegged,1.52,7,1764.3,705.7
tile,pegged,1.52,8,2013.3,805.3
tile,pegged,1.52,9,2262.4,904.9
tile,pegged,1.52,10,2511.4,1004.6
tile,unpegged,N/A,1,270,108.0
tile,unpegged,N/A,2,540,216.0
tile,unpegged,N/A,3,810,324.0
tile,unpegged,N/A,4,1080,432.0
tile,unpegged,N/A,5,1350,540.0
tile,unpegged,N/A,6,1620,648.0
tile,unpegged,N/A,7,1890,756.0
tile,unpegged,N/A,8,2160,864.0
tile,unpegged,N/A,9,2430,972.0
tile,unpegged,N/A,10,2700,1080.0
